CREATED LOG FILE
Missing pdb_file values:
Series([], )
Features to remove: ['DockQ', 'pdb_file', 'pdb_id']
Output path: /home/as4643/palmer_scratch/Protein-Decoy-Detection-SVR/predictions_capri_grid_search/100_0.001.csv
DONE PREDICTING
 MAE_Train  MSE_Train  R2_Train  MAE_Test  MSE_Test   R2_Test  Gamma     C
  0.219217   0.091489 -0.014464  0.229081  0.102646 -0.052859  100.0 0.001
                            pdb_file  actual_DockQ  prediction
 complex.0_0_14_corrected_H_0001_T30         0.030    0.129235
 complex.0_0_16_corrected_H_0001_T30         0.044    0.111401
 complex.0_0_24_corrected_H_0001_T30         0.029    0.106585
 complex.0_0_25_corrected_H_0001_T30         0.048    0.155302
 complex.0_0_31_corrected_H_0001_T30         0.043    0.111797
complex.0_10_25_corrected_H_0001_T30         0.554    0.158113
 complex.0_10_2_corrected_H_0001_T30         0.782    0.148758
complex.0_10_31_corrected_H_0001_T30         0.584    0.155824
complex.0_10_39_corrected_H_0001_T30         0.890    0.158937
 complex.0_10_3_corrected_H_0001_T30         0.904    0.152525
complex.0_10_44_corrected_H_0001_T30         0.454    0.132547
 complex.0_10_6_corrected_H_0001_T30         0.485    0.128890
 complex.0_10_9_corrected_H_0001_T30         0.602    0.112626
complex.0_11_11_corrected_H_0001_T30         0.640    0.162605
complex.0_11_49_corrected_H_0001_T30         0.822    0.154447
complex.0_12_24_corrected_H_0001_T30         0.815    0.161039
complex.0_12_33_corrected_H_0001_T30         0.752    0.160346
complex.0_12_36_corrected_H_0001_T30         0.711    0.134875
complex.0_12_42_corrected_H_0001_T30         0.807    0.163432
 complex.0_12_7_corrected_H_0001_T30         0.646    0.116032
complex.0_13_23_corrected_H_0001_T30         0.794    0.153259
complex.0_13_26_corrected_H_0001_T30         0.820    0.161525
complex.0_13_36_corrected_H_0001_T30         0.821    0.156773
complex.0_13_45_corrected_H_0001_T30         0.869    0.159889
complex.0_14_16_corrected_H_0001_T30         0.859    0.131671
complex.0_14_31_corrected_H_0001_T30         0.857    0.156166
complex.0_14_34_corrected_H_0001_T30         0.764    0.156088
complex.0_14_39_corrected_H_0001_T30         0.725    0.168887
complex.0_14_43_corrected_H_0001_T30         0.874    0.162401
 complex.0_14_5_corrected_H_0001_T30         0.758    0.154138
complex.0_15_10_corrected_H_0001_T30         0.843    0.164999
 complex.0_15_2_corrected_H_0001_T30         0.887    0.167626
complex.0_15_31_corrected_H_0001_T30         0.867    0.174681
 complex.0_15_7_corrected_H_0001_T30         0.797    0.161152
complex.0_16_12_corrected_H_0001_T30         0.778    0.160882
complex.0_16_27_corrected_H_0001_T30         0.861    0.155632
complex.0_16_30_corrected_H_0001_T30         0.783    0.161139
complex.0_16_35_corrected_H_0001_T30         0.777    0.158764
complex.0_16_38_corrected_H_0001_T30         0.899    0.150078
